run_id,family_id,name,n_members,primary_vs_A,primary_ci_low,primary_ci_high,primary_bh_q,objective_vs_A,objective_ci_low,objective_ci_high,objective_bh_q,primary_vs_B,primary_vs_D,objective_vs_B,objective_vs_D,consistency_vs_A
pilot-002,F1,Cinematic motivation,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
pilot-002,F2,Explicit effort instruction,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
pilot-002,F5,Challenge / competition,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
pilot-002,F6,High stakes framing,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
pilot-002,F7,Identity / role priming,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
pilot-002,F8,Social / team framing,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
pilot-002,F3,Appreciation / affection,3,0.0,0.0,0.0,1.0,-0.11111116666666666,-0.22222233333333333,0.0,1.0,0.0,0.0,-0.11111116666666666,-0.11111116666666666,
pilot-002,F4,Trust / confidence,3,0.0,0.0,0.0,1.0,-0.11111116666666666,-0.22222233333333333,0.0,1.0,0.0,0.0,-0.11111116666666666,-0.11111116666666666,
pilot-002,F9,Neutral control,2,-1.0,-2.0,0.0,1.0,-0.16666675,-0.3333335,0.0,1.0,-1.0,-1.0,-0.16666675,-0.16666675,1.0
