run_id,metric,scope,condition_or_contrast,n,value,ci_low,ci_high,p_value,effect_size
full-002,objective_score,contrast,T19_vs_D,60,-0.015806883333333334,-0.06854496666666667,0.02529098333333333,0.52734375,-0.14419365544281212
full-002,objective_score,contrast,T20_vs_A,60,-0.018012550000000002,-0.044500649999999996,0.008174616666666665,0.22265625,-0.2871917589398764
full-002,objective_score,contrast,T20_vs_B,60,-0.03854826666666667,-0.06457341666666667,-0.014232783333333337,0.009765625,-0.6504868188109298
full-002,objective_score,contrast,T20_vs_D,60,-0.025813483333333335,-0.05846228333333333,0.0014583333333333317,0.13671875,-0.3693900653830078
full-002,objective_score,contrast,T21_vs_A,60,-0.008250649999999998,-0.042384266666666656,0.024980216666666666,0.654296875,-0.10536952197581481
full-002,objective_score,contrast,T21_vs_B,60,-0.028786366666666667,-0.059580016666666666,-0.0009788499999999977,0.0791015625,-0.4158074277168506
full-002,objective_score,contrast,T21_vs_D,60,-0.016051583333333334,-0.054682533333333325,0.018194449999999997,0.42578125,-0.190583618124128
full-002,objective_score,contrast,T22_vs_A,60,-0.0059589833333333325,-0.04035713333333333,0.029735466666666665,0.75390625,-0.07206701631375437
full-002,objective_score,contrast,T22_vs_B,60,-0.026494699999999993,-0.06090606666666666,0.0049933999999999985,0.1484375,-0.34586441702027276
full-002,objective_score,contrast,T22_vs_D,60,-0.013759916666666669,-0.051428549999999996,0.022619066666666666,0.5078125,-0.15981650415698953
full-002,objective_score,contrast,T23_vs_A,60,0.009265883333333332,-0.02717265,0.04323418333333333,0.63671875,0.11168683927148605
full-002,objective_score,contrast,T23_vs_B,60,-0.011269833333333335,-0.043065483333333335,0.014553566666666665,0.50390625,-0.1709488606357162
full-002,objective_score,contrast,T23_vs_D,60,0.0014649499999999963,-0.03238093333333334,0.03497685,0.9453125,0.01845255340754159
full-002,objective_score,contrast,T24_vs_A,60,-0.016011933333333332,-0.04736115,0.010476166666666667,0.34375,-0.23838129221339385
full-002,objective_score,contrast,T24_vs_B,60,-0.03654765,-0.07238098333333333,-0.004325433333333331,0.0546875,-0.4541898074659958
full-002,objective_score,contrast,T24_vs_D,60,-0.023812866666666665,-0.06138558333333333,0.011345883333333332,0.2275390625,-0.2817823189465245
full-002,objective_score,contrast,T25_vs_A,60,-0.02441796666666667,-0.05127311666666666,-0.00042658333333333437,0.078125,-0.41383208645216923
full-002,objective_score,contrast,T25_vs_B,60,-0.04495368333333334,-0.07291659999999998,-0.02201388333333333,0.001953125,-0.7519729873463321
full-002,objective_score,contrast,T25_vs_D,60,-0.0322189,-0.07240405000000001,0.001835333333333329,0.12890625,-0.36857324054059276
full-002,objective_score,contrast,T26_vs_A,60,-0.007767850000000001,-0.046507900000000005,0.02757938333333333,0.703125,-0.08897256131025057
full-002,objective_score,contrast,T26_vs_B,60,-0.02830356666666667,-0.06666665,0.00479165,0.16015625,-0.33899431850580447
full-002,objective_score,contrast,T26_vs_D,60,-0.015568783333333332,-0.06499336666666668,0.02689811666666666,0.53515625,-0.1453761012094339
full-002,objective_score,contrast,B_vs_A,60,0.020535716666666665,-0.00166665,0.04345238333333333,0.109375,0.389707883242905
full-002,objective_score,contrast,D_vs_A,60,0.007800933333333335,-0.018680549999999997,0.03840936666666667,0.62890625,0.11795966040442404
full-002,objective_score,contrast,E01_vs_D,60,0.01351853333333333,-0.025793633333333336,0.05266865,0.5234375,0.15013330214190235
full-002,objective_score,contrast,E01_vs_T01,60,0.0050694666666666645,-0.030059516666666668,0.04073416666666666,0.77734375,0.06080793373367989
full-002,objective_score,contrast,E01_vs_A,60,0.021319466666666672,-0.009365066666666666,0.060119066666666665,0.34375,0.25887123054801864
full-002,objective_score,contrast,E02_vs_D,60,0.01246693333333333,-0.01626981666666667,0.03916663333333333,0.4375,0.19526146747444012
full-002,objective_score,contrast,E02_vs_T07,60,0.03746031666666665,-0.0012103000000000092,0.07996031666666667,0.09765625,0.38990709199826395
full-002,objective_score,contrast,E02_vs_A,60,0.020267866666666665,-0.0024305333333333357,0.046359149999999995,0.15625,0.35194295477283166
full-002,objective_score,contrast,E03_vs_D,60,0.019351849999999993,-0.0041203833333333315,0.04347221666666666,0.138671875,0.3414430872943961
full-002,objective_score,contrast,E03_vs_T10,60,0.04335979999999999,0.009603166666666668,0.08206355,0.029296875,0.5122205141584639
full-002,objective_score,contrast,E03_vs_A,60,0.027152783333333333,0.006696433333333335,0.04831348333333334,0.03125,0.5533550847736037
full-002,objective_score,contrast,E04_vs_D,60,0.009937166666666662,-0.0257176,0.042923283333333326,0.599609375,0.12482906588847661
full-002,objective_score,contrast,E04_vs_T13,60,0.02518188333333333,-0.012622350000000004,0.06457671666666667,0.224609375,0.28019730865695713
full-002,objective_score,contrast,E04_vs_A,60,0.017738099999999996,-0.011071433333333335,0.043849216666666656,0.24609375,0.27077794274628175
full-002,objective_score,contrast,E05_vs_D,60,0.0121759,-0.008888916666666665,0.03731478333333334,0.390625,0.2242625853426831
full-002,objective_score,contrast,E05_vs_T16,60,0.008766500000000003,-0.019044299999999997,0.03664348333333334,0.55078125,0.1355500298173698
